event_id,event_name,start_time,fighter_a,fighter_b,scheduled_rounds,is_title_fight,market,selection,book,american_odds,selection_name,odds_api_event_id,odds_source,snapshot_fallback_used,last_snapshot_time
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Junior Tafa,Kevin Christian,3.0,0,moneyline,fighter_b,fanduel,185.0,Kevin Christian,9b8a4523ec28a0c91297dd06ee3690fe,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Junior Tafa,Kevin Christian,3.0,0,fight_goes_to_decision,fight_goes_to_decision,manual,,Fight goes to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Junior Tafa,Kevin Christian,3.0,0,fight_doesnt_go_to_decision,fight_doesnt_go_to_decision,manual,,Fight doesn't go to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Junior Tafa,Kevin Christian,3.0,0,inside_distance,fighter_a,manual,,Junior Tafa,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Junior Tafa,Kevin Christian,3.0,0,inside_distance,fighter_b,manual,,Kevin Christian,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Junior Tafa,Kevin Christian,3.0,0,by_decision,fighter_a,manual,,Junior Tafa,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Junior Tafa,Kevin Christian,3.0,0,by_decision,fighter_b,manual,,Kevin Christian,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jacob Malkoun,Gerald Meerschaert,3.0,0,moneyline,fighter_a,fanduel,-1800.0,Jacob Malkoun,fbf7ef7423c3133a9a019981db7cb18e,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jacob Malkoun,Gerald Meerschaert,3.0,0,moneyline,fighter_b,fanduel,945.0,Gerald Meerschaert,fbf7ef7423c3133a9a019981db7cb18e,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jacob Malkoun,Gerald Meerschaert,3.0,0,fight_goes_to_decision,fight_goes_to_decision,manual,,Fight goes to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jacob Malkoun,Gerald Meerschaert,3.0,0,fight_doesnt_go_to_decision,fight_doesnt_go_to_decision,manual,,Fight doesn't go to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jacob Malkoun,Gerald Meerschaert,3.0,0,inside_distance,fighter_a,manual,,Jacob Malkoun,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jacob Malkoun,Gerald Meerschaert,3.0,0,inside_distance,fighter_b,manual,,Gerald Meerschaert,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jacob Malkoun,Gerald Meerschaert,3.0,0,by_decision,fighter_a,manual,,Jacob Malkoun,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Jacob Malkoun,Gerald Meerschaert,3.0,0,by_decision,fighter_b,manual,,Gerald Meerschaert,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Colby Thicknesse,Vince Morales,3.0,0,moneyline,fighter_a,fanduel,-145.0,Colby Thicknesse,90f603711355e10eb78ef195a8c39d84,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Colby Thicknesse,Vince Morales,3.0,0,moneyline,fighter_b,fanduel,122.0,Vince Morales,90f603711355e10eb78ef195a8c39d84,live_api,0,
